Loan_ID,Gender,Married,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP002190,Male,Yes,Graduate,No,6325,0,175,360,1,Semiurban,Y
LP002191,Male,Yes,Graduate,No,19730,5266,570,360,1,Rural,N
LP002194,Female,No,Graduate,Yes,15759,0,55,360,1,Semiurban,Y
LP002197,Male,Yes,Graduate,No,5185,0,155,360,1,Semiurban,Y
LP002201,Male,Yes,Graduate,Yes,9323,7873,380,300,1,Rural,Y
LP002205,Male,No,Graduate,No,3062,1987,111,180,0,Urban,N
LP002209,Female,No,Graduate,No,2764,1459,110,360,1,Urban,Y
LP002211,Male,Yes,Graduate,No,4817,923,120,180,1,Urban,Y
LP002219,Male,Yes,Graduate,No,8750,4996,130,360,1,Rural,Y
LP002223,Male,Yes,Graduate,No,4310,0,130,360,0.842199,Semiurban,Y
LP002224,Male,No,Graduate,No,3069,0,71,480,1,Urban,N
LP002225,Male,Yes,Graduate,No,5391,0,130,360,1,Urban,Y
LP002226,Male,Yes,Graduate,No,3333,2500,128,360,1,Semiurban,Y
LP002229,Male,No,Graduate,No,5941,4232,296,360,1,Semiurban,Y
LP002231,Female,No,Graduate,No,6000,0,156,360,1,Urban,Y
LP002234,Male,No,Graduate,Yes,7167,0,128,360,1,Urban,Y
LP002236,Male,Yes,Graduate,No,4566,0,100,360,1,Urban,N
LP002237,Male,No,Graduate,No,3667,0,113,180,1,Urban,Y
LP002239,Male,No,'Not Graduate',No,2346,1600,132,360,1,Semiurban,Y
LP002243,Male,Yes,'Not Graduate',No,3010,3136,146.412162,360,0,Urban,N
LP002244,Male,Yes,Graduate,No,2333,2417,136,360,1,Urban,Y
LP002250,Male,Yes,Graduate,No,5488,0,125,360,1,Rural,Y
LP002255,Male,No,Graduate,No,9167,0,185,360,1,Rural,Y
LP002262,Male,Yes,Graduate,No,9504,0,275,360,1,Rural,Y
LP002263,Male,Yes,Graduate,No,2583,2115,120,360,0.842199,Urban,Y
LP002265,Male,Yes,'Not Graduate',No,1993,1625,113,180,1,Semiurban,Y
LP002266,Male,Yes,Graduate,No,3100,1400,113,360,1,Urban,Y
LP002272,Male,Yes,Graduate,No,3276,484,135,360,0.842199,Semiurban,Y
LP002277,Female,No,Graduate,No,3180,0,71,360,0,Urban,N
LP002281,Male,Yes,Graduate,No,3033,1459,95,360,1,Urban,Y
LP002284,Male,No,'Not Graduate',No,3902,1666,109,360,1,Rural,Y
LP002287,Female,No,Graduate,No,1500,1800,103,360,0,Semiurban,N
LP002288,Male,Yes,'Not Graduate',No,2889,0,45,180,0,Urban,N
LP002296,Male,No,'Not Graduate',No,2755,0,65,300,1,Rural,N
LP002297,Male,No,Graduate,No,2500,20000,103,360,1,Semiurban,Y
LP002300,Female,No,'Not Graduate',No,1963,0,53,360,1,Semiurban,Y
LP002301,Female,No,Graduate,Yes,7441,0,194,360,1,Rural,N
LP002305,Female,No,Graduate,No,4547,0,115,360,1,Semiurban,Y
LP002308,Male,Yes,'Not Graduate',No,2167,2400,115,360,1,Urban,Y
LP002314,Female,No,'Not Graduate',No,2213,0,66,360,1,Rural,Y
LP002315,Male,Yes,Graduate,No,8300,0,152,300,0,Semiurban,N
LP002317,Male,Yes,Graduate,No,81000,0,360,360,0,Rural,N
LP002318,Female,No,'Not Graduate',Yes,3867,0,62,360,1,Semiurban,N
LP002319,Male,Yes,Graduate,No,6256,0,160,360,0.842199,Urban,Y
LP002328,Male,Yes,'Not Graduate',No,6096,0,218,360,0,Rural,N
LP002332,Male,Yes,'Not Graduate',No,2253,2033,110,360,1,Rural,Y
LP002335,Female,Yes,'Not Graduate',No,2149,3237,178,360,0,Semiurban,N
LP002337,Female,No,Graduate,No,2995,0,60,360,1,Urban,Y
LP002341,Female,No,Graduate,No,2600,0,160,360,1,Urban,N
LP002342,Male,Yes,Graduate,Yes,1600,20000,239,360,1,Urban,N
LP002345,Male,Yes,Graduate,No,1025,2773,112,360,1,Rural,Y
LP002347,Male,Yes,Graduate,No,3246,1417,138,360,1,Semiurban,Y
LP002348,Male,Yes,Graduate,No,5829,0,138,360,1,Rural,Y
LP002357,Female,No,'Not Graduate',No,2720,0,80,342,0,Urban,N
LP002361,Male,Yes,Graduate,No,1820,1719,100,360,1,Urban,Y
LP002362,Male,Yes,Graduate,No,7250,1667,110,342,0,Urban,N
LP002364,Male,Yes,Graduate,No,14880,0,96,360,1,Semiurban,Y
LP002366,Male,Yes,Graduate,No,2666,4300,121,360,1,Rural,Y
LP002367,Female,No,'Not Graduate',No,4606,0,81,360,1,Rural,N
LP002368,Male,Yes,Graduate,No,5935,0,133,360,1,Semiurban,Y
LP002369,Male,Yes,Graduate,No,2920,16.120001,87,360,1,Rural,Y
LP002370,Male,No,'Not Graduate',No,2717,0,60,180,1,Urban,Y
LP002377,Female,No,Graduate,Yes,8624,0,150,360,1,Semiurban,Y
LP002379,Male,No,Graduate,No,6500,0,105,360,0,Rural,N
LP002386,Male,No,Graduate,No,12876,0,405,360,1,Semiurban,Y
LP002387,Male,Yes,Graduate,No,2425,2340,143,360,1,Semiurban,Y
LP002390,Male,No,Graduate,No,3750,0,100,360,1,Urban,Y
LP002393,Female,Yes,Graduate,No,10047,0,146.412162,240,1,Semiurban,Y
LP002398,Male,No,Graduate,No,1926,1851,50,360,1,Semiurban,Y
LP002401,Male,Yes,Graduate,No,2213,1125,146.412162,360,1,Urban,Y
LP002403,Male,No,Graduate,Yes,10416,0,187,360,0,Urban,N
